Model,k_fold,Stratyfikacja,Bins,Acc,Prec,Rec,Fsc
EqualWidthPartitioning,10,False,10,0.9774509803921567,0.9752777777777778,0.9600132275132276,0.9645721598662776
EqualDepthPartitioning,2,True,5,0.9325842696629213,0.9357951132951134,0.8702117177923631,0.9003016278991017
EqualDepthPartitioning,2,False,5,0.9438202247191012,0.9420334683237909,0.893853322102984,0.9165915000792458
EqualDepthPartitioning,5,True,5,0.9215873015873017,0.9262243312243312,0.8532389832389833,0.8848999476640211
EqualDepthPartitioning,5,False,5,0.9385714285714287,0.9387830687830688,0.8905218855218855,0.9112557132097361
EqualDepthPartitioning,10,True,5,0.9333333333333333,0.9386507936507937,0.8816269841269843,0.9040979390979391
EqualDepthPartitioning,10,False,5,0.9330065359477122,0.9368253968253968,0.8744312169312168,0.8913389803637484
EqualDepthPartitioning,2,True,7,0.9213483146067416,0.9233182285976098,0.8511089445356687,0.8849277227727712
EqualDepthPartitioning,2,False,7,0.9325842696629213,0.9335226683265899,0.8687442984856778,0.8993170622480967
EqualDepthPartitioning,5,True,7,0.9436507936507937,0.9497147297147298,0.898840048840049,0.9181961325666315
EqualDepthPartitioning,5,False,7,0.9322222222222224,0.9270376845376845,0.8720989974937343,0.8948696652247377
EqualDepthPartitioning,10,True,7,0.9382352941176468,0.9409126984126985,0.8883333333333333,0.9104099604099606
EqualDepthPartitioning,10,False,7,0.9267973856209148,0.9345634920634922,0.8583958633958634,0.8857169458794847
EqualDepthPartitioning,2,True,10,0.9438202247191011,0.9474568582727976,0.8886257112063564,0.9158286009092461
EqualDepthPartitioning,2,False,10,0.9382022471910113,0.9398938786984328,0.8810323326852988,0.9082582434884224
EqualDepthPartitioning,5,True,10,0.9498412698412699,0.9575505050505051,0.903996743996744,0.9263886608483197
EqualDepthPartitioning,5,False,10,0.9377777777777779,0.938311595811596,0.8787657225815121,0.9043884169616446
EqualDepthPartitioning,10,True,10,0.9382352941176468,0.9453174603174604,0.8887698412698414,0.9093869093869097
EqualDepthPartitioning,10,False,10,0.9379084967320264,0.9407010582010582,0.8815608465608467,0.8990452842078229
